      Date                Credit//Debit     Balance
2022-02-19 16:07:22      -23000.0      9999977000.0
2022-02-19 16:07:40      23000.0      10000000000.0
2022-02-19 16:11:53      12000.0      10000012000.0
2022-02-19 16:12:04      -12000.0      10000000000.0
2022-02-19 16:48:17      12000.0      10000012000.0
2022-02-19 16:48:27      -12000.0      10000000000.0
2022-02-19 19:51:29      -12312.0      9999987688.0
2022-02-19 21:34:38      12345.0      10000000033.0
2022-02-19 21:34:47      -12345.0      9999987688.0
2022-02-19 21:35:13      12312.0      10000000000.0
2022-02-20 09:58:02      -23423.0      9999976577.0
2022-02-20 09:58:28      23423.0      10000000000.0
2022-02-20 11:48:58      -123.0      9999999877.0
2022-02-20 11:49:14      123.0      10000000000.0
2022-02-20 20:24:27      -1234.0      9999998766.0
2022-02-20 20:24:35      1234.0      10000000000.0
2022-02-21 08:27:34      -23000.0      9999977000.0
2022-02-21 08:27:43      23000.0      10000000000.0
